Title,Company,Experience,Location,Salary,Skills,Date,Domain
Data Scientist,Pocket Fm,3-4 Yrs ,Remote ,Not disclosed,Requirements: . 3+ years of experience applying experimentation methods & advanced stat...,12-08-2024,Data Scientist
Data Scientist,Nexuslink Services,2-10 Yrs ,Ahmedabad ,Not disclosed,"Mentor and coach junior developers, sharing your knowledge and experience to foster the...",12-08-2024,Data Scientist
Data Scientist,Diverse Lynx,2-7 Yrs ,Pune ,Not disclosed,"Undertaking data collection, preprocessing and analysis   Building models to address ...",12-08-2024,Data Scientist
Data Scientist Professional,Coders Brain Pvt Ltd,5-9 Yrs ,Hyderabad ,Not disclosed,"A strong mathematics and statistics background is preferred, in addition to experience ...",12-08-2024,Data Scientist
Sr. Data Scientist,One of the leading Anti-Money Laundering Organization,5-10 Yrs ,Gurugram ,Not disclosed,"Hands on experience in end-to-end module development including data collation, data mun...",29-08-2024,Data Scientist
Responsible AI Engineer,Accenture,7-10 Yrs ,Mumbai ,Not disclosed,Design and implement technology mitigation strategies for systems to ensure ethical and...,10-09-2024,Data Scientist
Data Scientist,Saarthee,1-6 Yrs ,Gurugram ,Not disclosed,"We are looking for team members who can use data to tell a story, generate insights t...",12-08-2024,Data Scientist
Data Scientist,EVC Labs,3-5 Yrs ,Gurugram ,Not disclosed,"At least 3-5 years of relevant experience with Statistical Modelling, Predictive Anal...",12-08-2024,Data Scientist
Senior Data Scientist (Risk),Kredivo Group,6-7 Yrs ,Bengaluru ,Not disclosed,"Masters, PhD or equivalent experience in a quantitative field (i.e)Minimum 6-7 years of...",15-08-2024,Data Scientist
Machine Learning Engineer and Data Scientist,Xcellence It,2-6 Yrs ,Surat ,Not disclosed,"Bachelor s or Master s degree in Computer Science, Machine Learning, Artificial Intelli...",12-08-2024,Data Scientist
Data/Solution Architect,Ignitho,8-13 Yrs ,Hybrid - Chennai(Sholinganallur +1) ,Not disclosed,Experience Level: 8+ YearsExperience with ETL,09-09-2024,Data Scientist
Sr. Engineer - ML Ops,Crowdstrike,4-9 Yrs ,Ahmedabad ,Not disclosed,"in Computer Science, Data Science, Statistics, Applied Mathematics, or a related field ...",29-08-2024,Data Scientist
Business Analyst,Accenture,3-7 Yrs ,Noida ,Not disclosed,Project Role :Business AnalystProject Role Description :Analyze an organization and des...,27-08-2024,Data Scientist
Data Scientist,Everest Vacuum,3-7 Yrs ,Bengaluru ,Not disclosed,. 3+ years of Work experience working with python and must have build predictive model ...,12-08-2024,Data Scientist
Associate Data Scientist,Right Step Consulting,3-6 Yrs ,Noida ,Not disclosed,"Bachelors degree in Business, Finance, Economics, Statistics, Marketing, or equivalent ...",12-08-2024,Data Scientist
Data Engineer,Hanker Systems (india),7-10 Yrs ,Bengaluru ,Not disclosed,1. The resource should have knowledge on Data Warehouse and Data Lake2. Should aware of...,09-09-2024,Data Scientist
SQL/Data Engineer role For Gurugram Location - Immediate Hiring.,EVC Labs,5-10 Yrs ,Gurugram ,15-30 Lacs PA,Position : SQL Engineer Location Gurgaon ( WORK FROM OFFICE )Timings - 5:30 PM - 2:30 A...,28-08-2024,Data Scientist
Data Scientist - Lead,Nityo Infotech,6-12 Yrs ,Chennai ,Not disclosed,NITYO INFOTECH is looking for Data Scientist - Lead to join our dynamic team and emb...,12-08-2024,Data Scientist
Opening For DBT Data Engineer For Bangalore - Contract,service client,7-12 Yrs ,Hybrid - Bengaluru ,Not disclosed,"Hi, Opening for DBT Data Engineer for Bangalore - Contract roleExperience: 7 years to 1...",30-08-2024,Data Scientist
Lead Data Scientist,Tetrahed Inc,3-5 Yrs ,Mumbai ,Not disclosed,. Masters Degree in a quantitative field plus 4 years of experience in data analytics. ...,28-08-2024,Data Scientist
IND Data Analyst I,Aon,4-6 Yrs ,Gurugram ,Not disclosed,Position type- Full Time. Work Location- Gurgaon. Cab Facility- Yes . Shift Time 8AM to...,08-09-2024,Data Scientist
Data Scientist,Pattern Effects Labs,2-7 Yrs ,Bengaluru ,Not disclosed,"Candidate should be able to analyse data and discover information, with high level in...",12-08-2024,Data Scientist
Lead Data Scientist,Lingaro Sp Z Oo,6-11 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,"Work closely with the business owners to understand business requirements, performanc...",12-08-2024,Data Scientist
NLP Data Scientist - Real World Data (RWD),Agilite Global Solutions,3-8 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,We are seeking a skilled NLP data scientist with a focus on language models to join...,12-08-2024,Data Scientist
Senior Data Scientist,Sasva Global,4-9 Yrs ,Pune ,Not disclosed,5+ years of experience implementing and deploying machine learning and deep learning fr...,09-09-2024,Data Scientist
Data Scientist,Neuron7,2-5 Yrs ,Remote ,Not disclosed,"Bachelors / Masters/PhD . Proficiency in: . NLP and ML . NLP toolkits such as NLTK, Spa...",12-08-2024,Data Scientist
Business Analyst,Capgemini,2-5 Yrs ,Pune ,Not disclosed,Successful candidate should have strong domain knowledge in consumer finance products (...,04-09-2024,Data Scientist
Sr Data Scientist / Lead Data Scientist,Mresult Technologies,7-12 Yrs ,"Hybrid - Mangaluru, Bengaluru ",Not disclosed,"Bachelors or masters degree in computer science, Engineering, Mathematics, Statistics, ...",,Data Scientist
AI Engineer Lead,iProgrammer Solutions,6-10 Yrs ,Pune(Senapati Bapat Road) ,Not disclosed,"Qualifications . Education: . Bachelors or Masters degree in Computer Science, Artifici...",11-09-2024,Data Scientist
Data Scientist,"IQuest Solutions Corp, USA",3-7 Yrs ,Hyderabad ,Not disclosed,"Experience with developing implementing Artificial Intelligence algorithms, especiall...",12-08-2024,Data Scientist
Business Analyst,Accenture,7-12 Yrs ,Kolkata ,Not disclosed,Minimum 5 year(s) of experience is required. Educational Qualification : B E. Summary :...,05-09-2024,Data Scientist
Data Scientist - Machine Learning/Python,CARBYNETECH,3-8 Yrs ,Hyderabad ,Not disclosed,"- You have at least 2 year experience, ideally within a Statistician role You possess s...",26-08-2024,Data Scientist
Business Analyst,Kalyani Technoforge (KTFL),2-5 Yrs ,Pune ,Not disclosed,"Prepare detailed business requirement documents (BRD), functional specifications, and u...",31-08-2024,Data Scientist
Data Scientist,Cubois Technologies,3-8 Yrs ,Pune ,Not disclosed,Locate and define new process improvement opportunities . Job Requirement: - Proven wor...,12-08-2024,Data Scientist
Associate Principal Consultant - Data Scientist,Arcadis Consulting India Pvt. Ltd,10-20 Yrs ,Bengaluru ,Not disclosed,Minimum of 10 years of experience as a Python Developer/ Data Scientist. Technical Resp...,12-08-2024,Data Scientist
Data Scientist,Rapid Canvas,4-9 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,graduate degree in Data Science or other quantitative field is preferred . - Deep indus...,12-08-2024,Data Scientist
Data Scientist,Sroniyan,5-10 Yrs ,Jhansi ,Not disclosed,Sroniyan is looking for Data Scientist to join our dynamic team and embark on a rewardi...,12-08-2024,Data Scientist
Data Engineer,Accenture,7-12 Yrs ,Bengaluru ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",29-08-2024,Data Scientist
Data Scientist,International Initiative for Impact Evaluation (3ie),6-11 Yrs ,New Delhi ,Not disclosed,"Excellent organizational skills, attention to detail, and the flexibility and willingne...",12-08-2024,Data Scientist
Data Scientist,Insider Biz,2-4 Yrs ,New Delhi ,Not disclosed,Insider Biz is looking for Data Scientist to join our dynamic team and embark on a rewa...,12-08-2024,Data Scientist
Data Analyst,Ascendion ,8-13 Yrs ,Remote ,20-27.5 Lacs PA,"Minimum of 5+ years of professional experience in a data-driven, finance analytical ro...",10-09-2024,Data Scientist
Data Engineer,Sphere It Consultants Dwc,7-8 Yrs ,Hybrid - Bengaluru(HSR Layout) ,25-30 Lacs PA,"Technical Expertise: Strong experience with Hadoop ecosystem components (HDFS, MapReduc...",27-08-2024,Data Scientist
Senior Data Scientist,Unicon Connectors,7-12 Yrs ,Mumbai ,Not disclosed,. Extensive relevant experience in Data ScienceHands on experience in production deploy...,14-08-2024,Data Scientist
Data Scientist,Codersarts,3-7 Yrs ,Noida ,Not disclosed,"Role and Responsibilties     Designing and implementing machine learning, information...",12-08-2024,Data Scientist
Antibody Discovery Scientist,Syngene,2-4 Yrs ,Bengaluru ,Not disclosed,Experience with handling rodents and rabbits is a mustExperience with antibody generati...,07-09-2024,Data Scientist
Data Engineer,Accenture,2-7 Yrs ,Mumbai ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",29-08-2024,Data Scientist
Data Engineer,Globallogic,3-5 Yrs ,"Noida, Gurugram ",Not disclosed,"Description: Must have skills: Handson in programming (either of Python, Java, Scala) R...",30-08-2024,Data Scientist
Data Scientist - WFO(Chennai),Tiger Analytics,4-6 Yrs ,Chennai ,Not disclosed,"A passion for writing high-quality code (Python) and the code should be modular, scalab...",05-09-2024,Data Scientist
Business Analyst,Quantum Phinance,0-2 Yrs ,Mumbai ,Not disclosed,"Attention : All those who have not cleared CA, can apply for openings as Business Anal...",29-08-2024,Data Scientist
Business Analyst,Accenture,3-5 Yrs ,Bengaluru ,Not disclosed,"Good To Have Skills:Knowledge of Microsoft Dynamics CRM Technical, Microsoft Dynamics 3...",05-09-2024,Data Scientist
Lead Data Scientist,Target,8-13 Yrs ,Bengaluru ,Not disclosed,Experience working with large event-driven distributed systems and multi-threaded appli...,12-08-2024,Data Scientist
Data Scientist,Straive,4-6 Yrs ,"Hybrid - Hyderabad, Chennai, Bengaluru ",Not disclosed,Job Title: Data ScientistLocation: Bangalore/Hyderabad/Noida/Chennai (Hybrid)Job Type: ...,21-08-2024,Data Scientist
Data Scientist Consultant,Confidential,6-11 Yrs ,"Hyderabad, Pune, Bengaluru ",12-22 Lacs PA,We are looking for a data scientist who analyzes large amounts of raw information to fi...,07-09-2024,Data Scientist
Data Scientist,R3coder,1-6 Yrs ,Ahmedabad ,Not disclosed,"We re scrappy, hard- working perfectionists looking for people who can add immediate va...",12-08-2024,Data Scientist
Data Scientist,Tranzita Systems,1-3 Yrs ,Lucknow ,Not disclosed,"In this role, you should be highly analytical with a knack for analysis, math and stati...",12-08-2024,Data Scientist
Data Scientist,IIFL Finance,2-4 Yrs ,Mumbai ,Not disclosed,"Eligibility: - Bachelors or Masters degree in a quantitative field such as Statistics, ...",10-09-2024,Data Scientist
Azure Data Architect,Programmers io,9-14 Yrs ,Remote ,Not disclosed,"Bachelors or Masters degree in Computer Science, Information Technology - Proven experi...",10-09-2024,Data Scientist
Data Scientist,Hookfish.in,4-8 Yrs ,Mumbai ,Not disclosed,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc (depe...",12-08-2024,Data Scientist
Senior Data Scientist,Revonextsoft,1-10 Yrs ,Bengaluru ,Not disclosed,Revonextsoft is looking for Senior Data Scientist to join our dynamic team and embark...,12-08-2024,Data Scientist
Data Scientist: Artificial Intelligence,IBM,3-7 Yrs ,Kolkata ,Not disclosed,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...",31-08-2024,Data Scientist
Data Scientist: Artificial Intelligence,IBM,5-9 Yrs ,Gurugram ,Not disclosed,Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...,25-08-2024,Data Scientist
Data Scientist,Youtrip,2-3 Yrs ,Bengaluru ,Not disclosed,Minimum requirements: . 2-3 years relevant work experience . A Bachelor s and / or Mast...,12-08-2024,Data Scientist
Data Scientist,Idexcel Technologies,2-7 Yrs ,"Hyderabad, Bengaluru ",Not disclosed,Minimum of 2 to 8 years of relevant experience in implementing and deploying Machine Le...,13-08-2024,Data Scientist
Principal Data Scientist / Sr. Data Scientist / Data Scientist - NLP,Benovymed Healthcare,0-5 Yrs ,"Noida, Gurugram, Delhi / NCR ",Not disclosed,BTech MTech in CSE / Electrical / Electronics & Communication Maths & Computing Statist...,30-08-2024,Data Scientist
Senior Data Scientist,Grazitti Interactive,5-10 Yrs ,Panchkula ,Not disclosed,"Proficiency in Python, data structures, and system designThe ideal candidate will have ...",12-08-2024,Data Scientist
AI / ML Engineer - Machine Learning,Accenture,7-9 Yrs ,Bengaluru ,Not disclosed,Project Role :AI / ML EngineerProject Role Description :Develops applications and syste...,10-09-2024,Data Scientist
Data Engineer,Xebia IT Architects,5-7 Yrs ,Chennai ,15-20 Lacs PA,"Job description:ResponsibilitiesEstablish scalable, efficient, automated processes for...",28-08-2024,Data Scientist
Lead Data Scientist,Tetrahed Inc,4-8 Yrs ,Gurugram ,Not disclosed,. Masters Degree in a quantitative field plus 4 years of experience in data analytics A...,28-08-2024,Data Scientist
Data Scientist,Agilite Global Solutions,5-10 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,They should be able to identify opportunities for data science models which could be pr...,12-08-2024,Data Scientist
Business Analyst,Accenture,3-7 Yrs ,Bengaluru ,Not disclosed,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years of fu...,30-08-2024,Data Scientist
Data Scientist Trainee,Wahy Lab Solutions,0-1 Yrs ,Ernakulam ,Not disclosed,". Full Time, Permanent . Qualification Bachelors / Masters degree in Computer Science E...",12-08-2024,Data Scientist
Data scientist / Data Analyst / AI Expert,Innovadors Lab,1-2 Yrs ,Bhubaneswar ,Not disclosed,Minimum 1-2 Years hands on experience in areas like Artificial Intelligence and Machine...,12-08-2024,Data Scientist
Senior Data Scientist,Cloudflare,2-5 Yrs ,Remote ,Not disclosed,Experience in hiring data scientists and establishing team best practices is preferred....,15-08-2024,Data Scientist
Lead Data Scientist,Reflections Info Systems,3-8 Yrs ,"Pune, Chennai, Bengaluru, Thiruvananthapuram ",Not disclosed,Experience of handling various data types and structures structured and unstructured da...,12-08-2024,Data Scientist
Data Scientist,Nhance Now,5-7 Yrs ,Bengaluru ,Not disclosed,We are looking for ace data scientists who can develop best in class predictive model...,12-08-2024,Data Scientist
Data Engineer,Accenture,5-8 Yrs ,Mumbai ,Not disclosed,"Create data pipelines, ensure data quality, and implement ETL (extract, transform and l...",30-08-2024,Data Scientist
PPSM Analyst,Accenture,3-5 Yrs ,Mumbai ,Not disclosed,Skill required: Marketing Operations - Content managementDesignation: PPSM AnalystQuali...,01-09-2024,Data Scientist
Data Scientist,"MUTUAL MOBILE, INC.",8-13 Yrs ,Hyderabad ,Not disclosed,Opportunity to work on bleeding-edge projects     Work with a highly motivated and de...,12-08-2024,Data Scientist
Senior Data Scientist,Aera Software Technology,4-8 Yrs ,Pune ,Not disclosed,"masters Degree in Computer Science, Mathematics, Statistics or a related quantitative f...",12-08-2024,Data Scientist
Senior Data Scientist,Data Axle Solutions,5-9 Yrs ,Pune ,Not disclosed,"As a Senior Data Scientist, you will be an integral member of the technology and a...",12-08-2024,Data Scientist
Principal Data Scientist,Blink Health,3-6 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,"While analytic rigor is a must, this is an applied research function where impact matte...",12-08-2024,Data Scientist
Data Scientist - IoT,Cavotec India,5-10 Yrs ,Pune(Viman Nagar) ,Not disclosed,Perform data analysis required to troubleshoot data quality related issuesExperience in...,20-08-2024,Data Scientist
FP&A Associate/Analyst,Azurity Pharmaceuticals,3-5 Yrs ,Hyderabad ,Not disclosed,Qualifications and Education Requirements . Bachelors degree in Finance or Accounting ....,29-08-2024,Data Scientist
Data Scientists,Huntertech Ventures,1-4 Yrs ,Bengaluru ,Not disclosed,Knowledge of data security and privacy best practices and regulations . Proficient in s...,12-08-2024,Data Scientist
Data Scientist,Data Collection Infotech,0-4 Yrs ,Bengaluru ,Not disclosed,"Collaborate with other data analysts to provide development coverage, support . Desired...",12-08-2024,Data Scientist
Data Science and Data Scientist Trainer,Dreamsplus Consulting,6-10 Yrs ,Hybrid - Chennai ,7-10 Lacs PA,". The ideal candidate will have a strong background in Data Science, Machine Learning, ...",10-09-2024,Data Scientist
"Data Scientist, Actimize",NICE,2-4 Yrs ,Hybrid - Pune ,Not disclosed,". At NICE, we work according to the NICE-FLEX hybrid model, which enables maximum flexi...",14-08-2024,Data Scientist
Data Engineer,Accenture,5-7 Yrs ,Bengaluru ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",31-08-2024,Data Scientist
Data Scientist,Global Pharma Tek,5-6 Yrs ,Pune ,Not disclosed,Encourage informed risk-taking and act as a catalyst. Desired Qualifications: . 5+ year...,12-08-2024,Data Scientist
Business Interlock Analyst,Accenture,3-5 Yrs ,Chennai ,Not disclosed,Skill required: Talent Development - Instructor-Led Training (ILT)Designation: Business...,29-08-2024,Data Scientist
Data Engineer,Accenture,7-11 Yrs ,Bengaluru ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",01-09-2024,Data Scientist
Data Scientist,Nits Solutions,3-8 Yrs ,Hybrid - Gurugram ,Not disclosed,"3+ Years of experience in Data Scientists with Python, Tensorflow and Pytorch. Experien...",02-09-2024,Data Scientist
Data Engineer,Accenture,3-7 Yrs ,Hyderabad ,Not disclosed,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,01-09-2024,Data Scientist
Data Scientist,Symmetrical Global Search Pvt Ltd,5-10 Yrs ,Noida ,Not disclosed,Qualifications . . Bachelors or Masters degree with specialization in Math/ Statistics ...,12-08-2024,Data Scientist
"Data Engineer (ETL, Big Data, Hadoop, Spark, GCP)",Deutsche Bank,8-10 Yrs ,"Pune, Margarpatta ",Not disclosed,"Should be able to work in a cross-application, mixed-technical environment and must dem...",05-09-2024,Data Scientist
Lead Data Scientist With MLOps,Response Informatics,3-8 Yrs ,Hyderabad ,Not disclosed,Design the data pipelines and engineering infrastructure to support enterprise  machin...,12-08-2024,Data Scientist
Data scientist,Growthjockey,0-1 Yrs ,Gurugram ,Not disclosed,"Master s Degree in Computer Science, Statistics, Applied Math or related field . 0-1 ye...",12-08-2024,Data Scientist
Data Engineer,Accenture,2-6 Yrs ,Mumbai ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",31-08-2024,Data Scientist
Senior Data scientist,Crayon Data,5-8 Yrs ,Chennai ,Not disclosed,"In this role,  you'll  be part of our Data Science te...",12-08-2024,Data Scientist
Data Engineer,Accenture,5-10 Yrs ,Noida ,Not disclosed,"Create data pipelines, ensure data quality, and implement ETL (extract, transform and l...",29-08-2024,Data Scientist
Data Scientist,Fusion Plus Solutions,1-10 Yrs ,Hyderabad ,Not disclosed,Data Scientist     8-10 years     M.S in Computer Science (preferred).     Building...,12-08-2024,Data Scientist
Lead Data Scientist,Aarki,6-11 Yrs ,Bengaluru ,Not disclosed,Preferred experience with data warehousing systems and MPP databases . Preferred famili...,12-08-2024,Data Scientist
V+Business Analyst,Capgemini,2-5 Yrs ,Pune ,Not disclosed,Successful candidate should have strong domain knowledge in consumer finance products (...,08-09-2024,Data Scientist
Senior Data Scientist - Marketplace,Tokopedia,5-10 Yrs ,Bengaluru ,Not disclosed,"Preferably, has domain experience in Machine Learning Engineering . Experience in takin...",12-08-2024,Data Scientist
Sr. Data Scientist,Insight Direct India,5-10 Yrs ,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR ",Not disclosed,"What youll need to join Insight . Bachelors degree in computer science, Information Tec...",10-09-2024,Data Scientist
Data Engineer,Accenture,5-7 Yrs ,Mumbai ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",05-09-2024,Data Scientist
Data Scientist,Virtue Sources,5-8 Yrs ,Bengaluru ,Not disclosed,Shift: Regular Dayshift (10am - 7PM) Might extend based on requirement. Relevant profes...,12-08-2024,Data Scientist
Data Scientist,Awake Security,8-9 Yrs ,Pune ,Not disclosed,Bachelor s degree in computer science or a related fieldMinimum 8 years of experience i...,12-08-2024,Data Scientist
Navitaire Analyst,Innova Solutions,4-8 Yrs ,"Hybrid - Noida, Bengaluru ",Not disclosed,Job Posting Title: Lead Navitaire AnalystDescription:The Lead Navitaire Analyst will b...,05-09-2024,Data Scientist
Data Engineer,Accenture,5-7 Yrs ,Pune ,Not disclosed,"Create data pipelines, ensure data quality, and implement ETL (extract, transform and l...",01-09-2024,Data Scientist
Business Analyst,Accenture,3-8 Yrs ,Ahmedabad ,Not disclosed,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,10-09-2024,Data Scientist
Data Engineer,Athos Systems,7-12 Yrs ,"Hybrid - Bengaluru, Mumbai (All Areas) ",Not disclosed,Role & responsibilities As a Full Stack Data Engineer experienced in Python and Snowfla...,05-09-2024,Data Scientist
Senior Data Scientist,Mindcurv TSPL,3-5 Yrs ,"Kochi, Coimbatore, Thiruvananthapuram ",Not disclosed,. 3-5 years experience in Analytics systems / program deliveryThey must have a proven a...,12-08-2024,Data Scientist
Business Analyst,Accenture,3-5 Yrs ,Bengaluru ,Not disclosed,Minimum 3 year(s) of experience is required. Educational Qualification : BE. Key Respon...,28-08-2024,Data Scientist
Data Engineer: Data Modeling,IBM,3-5 Yrs ,Pune ,Not disclosed,"Should able to demonstrate significant software integration patterns, such as the use o...",05-09-2024,Data Scientist
Data Scientist,LTI Mindtree,7-12 Yrs ,"Hybrid - Hyderabad, Pune, Bengaluru ",Not disclosed,Need PMPAgile Certified exposure of Customer Success Management Customer Sentiment anal...,22-08-2024,Data Scientist
"Senior Data Scientist, Growth Analytics",Moloco,7-9 Yrs ,Bengaluru ,Not disclosed,Minimum Requirements: . Bachelors degree in a quantitative field with 7+ years work exp...,12-08-2024,Data Scientist
Senior Data Scientist,Arthan,5-9 Yrs ,New Delhi ,Not disclosed,Requirements: . 6+ years experience in Data Science (or similar) roles,21-08-2024,Data Scientist
NLP Data Scientist,Insignia Consultancy Solutions,2-3 Yrs ,Remote ,Not disclosed,Knowledge of speech-to-text technologies and frameworks. Masters or MTech degree in Com...,12-08-2024,Data Scientist
Principal Data Scientist,Pega,6-10 Yrs ,Bengaluru ,Not disclosed,"Pega's , Machine Learning tribe involves developing NLP & NLG services which provides d...",24-08-2024,Data Scientist
Business Analyst - Payer,Leading Client,5-10 Yrs ,"Mumbai, Bengaluru, Delhi / NCR ",Not disclosed,Should have hands-on experience in any one or more sub-sectors of US healthcare such as...,11-09-2024,Data Scientist
Data Engineer,PureSoftware Pvt Ltd,7-10 Yrs ,"Noida, Gurugram, Bengaluru ",Not disclosed,"Expertise in Python and data manipulation libraries like Pandas, NumPy is a must. . Abi...",04-09-2024,Data Scientist
Data Scientist,Kanini Software Solutions ,4-7 Yrs ,"Noida, Pune, Chennai, Coimbatore, Bengaluru ",Not disclosed,". Stronganalytical skills and ML Modelling experience (Supervised, Unsupervised, Neural...",12-08-2024,Data Scientist
Data Scientist,Shadowfax Technologies Pvt. Ltd.,1-3 Yrs ,Gurugram ,Not disclosed,What you should know . Strong hold on statistics and machine learning techniques Solid ...,12-08-2024,Data Scientist
Lead Data Scientist/ Sr Data scientist,Clean Harbors,8-13 Yrs ,Hyderabad ,Not disclosed,"Must Have: Gen AI, ML, Deep Learning, NLP, ML Ops, Data Model Developments and Deployme...",30-08-2024,Data Scientist
Business Analyst,Aegon Life Insurance,2-5 Yrs ,"Hybrid - Mumbai Suburban, Mumbai (All Areas) ",2-5.5 Lacs PA,Must be proficient in JIRA board management  Education: Bachelors degree in Business Ad...,04-09-2024,Data Scientist
F2F Weekend Drive - Data Scientist - 14th Sept,Ltimindtree,6-11 Yrs ,Hybrid - Bengaluru(Whitefield) ,Not disclosed,We are having a weekend drive for the requirement of a Data Scientist at our Whitefield...,10-09-2024,Data Scientist
Data Scientist,Akkodis,4-5 Yrs ,Bengaluru ,Not disclosed,Conception and implementation of innovative solutions based on analytics and data sc...,12-08-2024,Data Scientist
Data Engineer: Data Platforms,IBM,5-8 Yrs ,Pune ,Not disclosed,Required Technical and Professional Expertise . Must have 5+ years exp in Big Data -Had...,11-09-2024,Data Scientist
Data Analyst,Ilensys Technologies,7-12 Yrs ,Hyderabad ,Not disclosed,7+ years experience in a data analytics or engineering role with a solid understanding ...,27-08-2024,Data Scientist
Data Scientist,Corestrat Labs,3-8 Yrs ,Lucknow ,Not disclosed,"WHAT SKILLS YOU LL NEED . Bachelors / MS in Statistics, Economics or Computer Science ....",12-08-2024,Data Scientist
Sr. Data Scientist,Ideapoke,3-4 Yrs ,Bengaluru ,Not disclosed,"PhD Masters degree BTech BE from an accredited collegeuniversity in Computer Science, S...",12-08-2024,Data Scientist
Data scientist,Ihcc,9-10 Yrs ,Bengaluru ,Not disclosed,Objective:   We are looking for a Data Scientist who will have zeal to make value out...,12-08-2024,Data Scientist
Business Analyst,Accenture,3-5 Yrs ,Mumbai ,Not disclosed,Minimum 3 year(s) of experience is required. Educational Qualification : 15yrs of full ...,30-08-2024,Data Scientist
Data Engineer- Digital Transformation,Faurecia,1-5 Yrs ,Pune ,Not disclosed,Faurecia Clarion Electronics - Digital Transformation Organization at Forvia is a key ...,10-09-2024,Data Scientist
Apprentice - Data Engineer,InnovAccer,0-1 Yrs ,Noida ,Not disclosed,"As an Apprentice- Data Engineer, you will be an integral part of our Data Engineerin...",12-08-2024,Data Scientist
Data Engineer,Productsquads Technolabs,3-8 Yrs ,Ahmedabad ,Not disclosed,We are seeking a skilled Data Developer with a strong understanding of dynamic typed pr...,06-09-2024,Data Scientist
Graduate Data Scientist,Worleyparsons,5-10 Yrs ,"Mumbai, Navi Mumbai ",Not disclosed,Understanding business objectives and developing models that help to achieve the...,15-08-2024,Data Scientist
Data Scientist,Tokopedia,1-2 Yrs ,Bengaluru ,Not disclosed,"Bachelor s or Master s Degree in Computer Science, Statistics, Operations Research, or ...",12-08-2024,Data Scientist
Analytics Data Scientist,Infosys,3-5 Yrs ,Bengaluru ,Not disclosed,"Bachelor of Engineering . Service Line  experience in optimization (linear, mixed integ...",12-08-2024,Data Scientist
Data Engineer,Accenture,3-5 Yrs ,Pune ,Not disclosed,"Create data pipelines, ensure data quality, and implement ETL (extract, transform and l...",31-08-2024,Data Scientist
Data Scientist,CAI,3-6 Yrs ,Bangalore Rural ,Not disclosed,Req number: R. Employment type: Full timeExpertise in Statistical model building and Ma...,28-08-2024,Data Scientist
Data Scientist: Artificial Intelligence,IBM,5-8 Yrs ,Gurugram ,Not disclosed,Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...,06-09-2024,Data Scientist
Junior Data Scientist,Synergy Computer Solutions,2-6 Yrs ,Hybrid - Hyderabad(Financial District) ,16-20 Lacs PA,Jr. Data Scientist Job Description: We are seeking an experienced Data Scientist to joi...,02-09-2024,Data Scientist
Data Scientist,Cotiviti,4-9 Yrs ,Hybrid - Hyderabad ,Not disclosed,This position will require applying your knowledge and experience to real world problem...,13-08-2024,Data Scientist
Hiring Data Scientist ( Only For UG Freshers ),Workfreaks Business Services,7-12 Yrs ,Gurugram(Phase 3 Sector 22A Gurgaon) ,2.25-4 Lacs PA,"We are looking for a skilled Data Scientist to analyze and interpret complex data, deve...",,Data Scientist
Business Analyst,Vrize,4-6 Yrs ,Remote ,18-25 Lacs PA,Experience working in an Agile / Scrum environment is a mandatoryProficient in working ...,10-09-2024,Data Scientist
Data Engineer,Accenture,3-5 Yrs ,Bengaluru ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",10-09-2024,Data Scientist
Data Scientist - Diversity,Live Connections,7-9 Yrs ,Hybrid - Hyderabad ,30-35 Lacs PA,"4 years of experience in data science, machine learning, or AI engineering roles like G...",03-09-2024,Data Scientist
Data Engineer,Accenture,2-4 Yrs ,Ahmedabad ,Not disclosed,"Project Role :Data EngineerProject Role Description :Design, develop and maintain data ...",29-08-2024,Data Scientist
Data Scientist,ANZ,2-7 Yrs ,Bengaluru ,Not disclosed,"Need to have good understanding of the Banking system and products, service, channels ....",12-08-2024,Data Scientist
